scorer,,,,,,,Cleaned,,,
bodyparts,LHand,LHand,LHand,RHand,RHand,RHand,Lhand,,Rhand,
coords,x,y,likelihood,x,y,likelihood,x,y,x,y
41,94.57017827,540.4104089,0.999997854,94.49127555,452.0456575,1,94.57017827,540.4104089,94.49127555,452.0456575
42,89.36044407,552.2356567,0.999993205,93.7964648,472.6974277,1,89.36044407,552.2356567,93.7964648,472.6974277
43,90.50562084,561.9317086,0.999995828,92.93718255,489.832984,0.999999523,90.50562084,561.9317086,92.93718255,489.832984
44,95.33575344,569.2194829,0.999998927,85.40331101,504.6057711,1,95.33575344,569.2194829,85.40331101,504.6057711
45,107.2414137,573.5751723,0.999976754,76.69486111,520.8410692,1,107.2414137,573.5751723,76.69486111,520.8410692
46,151.156311,542.2086408,0.999997616,77.48541009,529.5506473,1,151.156311,542.2086408,77.48541009,529.5506473
47,195.000826,474.9882191,1,84.87665528,545.5315785,1,195.000826,474.9882191,84.87665528,545.5315785
48,217.2349648,415.0986187,1,93.94075036,557.9843636,1,217.2349648,415.0986187,93.94075036,557.9843636
49,214.6822841,391.3734417,0.999999523,99.7410138,570.5351439,1,214.6822841,391.3734417,99.7410138,570.5351439
50,200.8662519,362.604575,0.99999547,108.9911698,582.8257957,0.999999046,200.8662519,362.604575,108.9911698,582.8257957
51,197.8833066,354.6176747,0.999996662,111.6413984,585.6305807,0.999993205,197.8833066,354.6176747,111.6413984,585.6305807
52,179.6989608,350.6703038,0.999998689,118.6177471,593.3729594,0.999987006,179.6989608,350.6703038,118.6177471,593.3729594
53,165.4678098,359.7649965,0.999923944,122.5614251,600.2279119,0.997259498,165.4678098,359.7649965,122.5614251,600.2279119
54,158.9038355,371.3415718,0.999645352,123.3739605,612.6958313,0.372795939,158.9038355,371.3415718,123.3739605,
55,153.3675938,377.9814413,0.999922037,123.4605024,613.5532789,0.058744103,153.3675938,377.9814413,123.4605024,
56,151.3457806,385.7307348,0.999999762,121.1020772,611.6737823,0.237591878,151.3457806,385.7307348,121.1020772,
57,149.0858222,394.8234582,0.999999762,123.9928391,611.1779933,0.159468129,149.0858222,394.8234582,123.9928391,
58,147.943468,407.8339188,0.999999642,135.7505903,613.2122059,0.067506716,147.943468,407.8339188,135.7505903,
59,148.210463,420.0517673,1,98.7760458,597.3805474,0.957733095,148.210463,420.0517673,98.7760458,597.3805474
60,148.5939966,431.9779446,1,62.50138235,524.6037655,1,148.5939966,431.9779446,62.50138235,524.6037655
61,140.5739546,444.5831807,0.999999762,48.20678902,442.7931362,1,140.5739546,444.5831807,48.20678902,442.7931362
62,134.1805794,457.9447103,1,47.80386162,395.2747844,0.999998569,134.1805794,457.9447103,47.80386162,395.2747844
63,132.4562463,467.2630545,1,69.43350101,376.251101,0.005076416,132.4562463,467.2630545,69.43350101,
64,129.0950184,478.9190631,0.999999404,73.31302929,362.4636353,0.14803569,129.0950184,478.9190631,73.31302929,
65,124.6103814,489.6153798,0.999999404,83.48312509,358.8973053,0.999446571,124.6103814,489.6153798,83.48312509,358.8973053
66,120.8832493,503.0410917,0.999998689,100.2960557,378.4162782,1,120.8832493,503.0410917,100.2960557,378.4162782
67,118.8304598,516.2472411,0.999999881,103.547935,397.2935653,1,118.8304598,516.2472411,103.547935,397.2935653
68,116.2277445,529.0455108,0.999998689,105.9644284,415.2670259,1,116.2277445,529.0455108,105.9644284,415.2670259
69,116.2014818,541.1853065,0.999997258,106.8607454,435.1405321,1,116.2014818,541.1853065,106.8607454,435.1405321
70,116.6140906,547.9379394,0.999923825,108.3299048,454.0178792,1,116.6140906,547.9379394,108.3299048,454.0178792
71,123.7652186,550.4113879,0.999994636,106.0747515,471.3498573,0.999999642,123.7652186,550.4113879,106.0747515,471.3498573
72,138.0634187,548.752013,0.99999845,98.07820272,489.918942,1,138.0634187,548.752013,98.07820272,489.918942
73,182.4872119,520.1463962,0.999999762,95.83764625,507.3544486,1,182.4872119,520.1463962,95.83764625,507.3544486
74,224.6246176,461.6219542,1,94.73589277,521.4747858,1,224.6246176,461.6219542,94.73589277,521.4747858
75,243.15613,430.6238856,1,102.279881,533.000231,1,243.15613,430.6238856,102.279881,533.000231
76,232.6976662,411.8114753,0.999973059,108.9538732,541.7939616,1,232.6976662,411.8114753,108.9538732,541.7939616
77,219.8906508,400.9388332,0.999996305,110.2625997,550.65078,1,219.8906508,400.9388332,110.2625997,550.65078
78,211.8985855,394.5232502,0.99997139,109.999599,558.4894116,1,211.8985855,394.5232502,109.999599,558.4894116
79,210.0245471,386.7712213,0.999958634,110.0884976,563.4698454,1,210.0245471,386.7712213,110.0884976,563.4698454
80,198.12448,379.458655,0.999999642,112.6475859,573.0277504,1,198.12448,379.458655,112.6475859,573.0277504
81,181.7583989,395.8346264,0.999993086,117.6253643,579.603602,1,181.7583989,395.8346264,117.6253643,579.603602
82,171.3423502,398.2359262,0.994565248,118.8369052,587.3701968,0.999993086,171.3423502,398.2359262,118.8369052,587.3701968
83,165.8847966,403.6609817,0.999806583,121.7305932,589.1695728,0.999966621,165.8847966,403.6609817,121.7305932,589.1695728
84,163.1157014,413.9916807,0.999999523,127.524226,593.4847071,0.999982595,163.1157014,413.9916807,127.524226,593.4847071
85,161.4326227,423.6841257,0.999999046,128.2591805,599.0657036,0.999717534,161.4326227,423.6841257,128.2591805,599.0657036
86,156.3139455,427.6268476,0.999999762,125.778747,603.2739415,0.801734507,156.3139455,427.6268476,125.778747,
87,153.1045256,436.7631814,0.999999404,123.9649721,612.274251,0.115508117,153.1045256,436.7631814,123.9649721,
88,150.7748547,441.2392738,0.999999881,111.5697827,610.8035531,0.00200656,150.7748547,441.2392738,111.5697827,
89,149.2241697,443.7885797,1,111.5956981,610.5792165,0.00304072,149.2241697,443.7885797,111.5956981,
90,150.4674222,448.2182014,0.999999881,112.2008519,610.6991377,0.00357409,150.4674222,448.2182014,112.2008519,
91,152.9958289,453.3949473,0.999999881,124.6280106,614.0848789,0.016369831,152.9958289,453.3949473,124.6280106,
92,153.6979761,457.0191836,0.999999642,102.1514766,599.5170231,0.989988029,153.6979761,457.0191836,102.1514766,599.5170231
93,149.7222416,461.372861,0.999999881,87.08496976,564.2945042,1,149.7222416,461.372861,87.08496976,564.2945042
94,142.257899,468.5016853,0.999999881,57.58289576,481.2134271,1,142.257899,468.5016853,57.58289576,481.2134271
95,135.8618178,468.8481132,0.999999762,52.96438122,420.6696858,1,135.8618178,468.8481132,52.96438122,420.6696858
96,130.4744931,470.8009231,0.999999762,62.8226881,384.0722599,0.992847264,130.4744931,470.8009231,62.8226881,384.0722599
97,123.5158832,479.1065545,0.999999046,74.820153,362.6166531,0.004303848,123.5158832,479.1065545,74.820153,
98,117.7803791,485.8188819,0.999999881,104.0748043,468.7034855,0.000194281,117.7803791,485.8188819,104.0748043,
99,108.971473,491.9046345,0.999999762,83.90099904,342.1449466,0.999153256,108.971473,491.9046345,83.90099904,342.1449466
100,106.1594431,497.3444757,1,100.4631144,366.712734,0.986243665,106.1594431,497.3444757,100.4631144,366.712734
101,101.4901664,505.2805648,1,108.7273099,379.7571889,0.999928594,101.4901664,505.2805648,108.7273099,379.7571889
102,100.8847001,508.0683967,1,111.6039226,396.3026798,0.999999881,100.8847001,508.0683967,111.6039226,396.3026798
103,105.0701489,512.8881083,0.999997497,112.7053251,412.591342,1,105.0701489,512.8881083,112.7053251,412.591342
104,109.5562806,522.6331676,0.999994516,112.8637147,434.4828959,1,109.5562806,522.6331676,112.8637147,434.4828959
105,122.8220711,536.7251067,0.999958158,111.3590019,452.032915,1,122.8220711,536.7251067,111.3590019,452.032915
106,155.689928,531.8303973,0.99999249,111.1458955,470.1284566,1,155.689928,531.8303973,111.1458955,470.1284566
107,213.1389295,466.6882583,1,103.7444763,487.5116587,1,213.1389295,466.6882583,103.7444763,487.5116587
108,239.0057318,404.3840433,1,106.9163164,507.2163852,1,239.0057318,404.3840433,106.9163164,507.2163852
109,245.34512,376.0387669,0.999991417,115.008963,527.7704804,1,245.34512,376.0387669,115.008963,527.7704804
110,222.8349757,355.7903874,0.999967217,121.7333946,545.0632868,1,222.8349757,355.7903874,121.7333946,545.0632868
111,199.4626021,358.088872,0.999768317,126.8061228,564.2376519,1,199.4626021,358.088872,126.8061228,564.2376519
112,189.3747551,378.0167141,0.999999404,127.196795,577.9127612,0.999999881,189.3747551,378.0167141,127.196795,577.9127612
113,176.4911675,404.109422,0.999386072,127.4753017,588.9730793,0.999874115,176.4911675,404.109422,127.4753017,588.9730793
114,169.8530877,417.5624251,0.999987125,133.5123829,597.0138026,0.999855995,169.8530877,417.5624251,133.5123829,597.0138026
115,169.2734408,424.0920458,0.999997377,142.1325967,601.1729498,0.98269695,169.2734408,424.0920458,142.1325967,601.1729498
116,168.5721531,430.6675632,0.999999404,145.3471842,609.9802847,0.411564022,168.5721531,430.6675632,145.3471842,
117,165.6451092,441.2529516,0.999999762,154.4964755,613.8509121,0.07694456,165.6451092,441.2529516,154.4964755,
118,163.7382358,451.3290309,1,134.4484134,610.5636425,0.00676084,163.7382358,451.3290309,134.4484134,
119,159.3069465,452.7620059,0.999999881,116.5742562,579.3566408,1,159.3069465,452.7620059,116.5742562,579.3566408
120,150.910166,457.7578115,0.999999881,72.61218596,485.1147032,1,150.910166,457.7578115,72.61218596,485.1147032
121,141.6805766,465.5528843,0.999999762,58.94096279,410.536134,1,141.6805766,465.5528843,58.94096279,410.536134
122,128.5031791,474.0999045,0.999999046,64.73522997,370.9388064,0.994211257,128.5031791,474.0999045,64.73522997,370.9388064
123,117.850283,482.7649992,0.999999881,73.22210908,348.0787509,0.990888476,117.850283,482.7649992,73.22210908,348.0787509
124,107.0479691,490.3060725,0.999999404,71.89825249,333.9278204,0.002029239,107.0479691,490.3060725,71.89825249,
125,99.77894312,497.3012531,0.999999881,77.00139332,356.8686368,0.994671524,99.77894312,497.3012531,77.00139332,356.8686368
126,94.33604646,506.7532985,0.999999523,74.08042634,373.6446642,0.999997735,94.33604646,506.7532985,74.08042634,373.6446642
127,88.9036622,512.2832563,1,72.68324018,386.9370763,0.999996305,88.9036622,512.2832563,72.68324018,386.9370763
128,88.64199734,519.7982974,0.999999881,66.12467706,406.4135454,0.999999762,88.64199734,519.7982974,66.12467706,406.4135454
129,87.3552146,530.1974111,1,59.75420189,426.4896715,0.99998796,87.3552146,530.1974111,59.75420189,426.4896715
130,92.29873413,534.7880428,1,61.00905347,440.2563066,0.99999094,92.29873413,534.7880428,61.00905347,440.2563066
131,97.22354126,539.4828179,0.999999881,59.18516493,457.9455419,0.999978781,97.22354126,539.4828179,59.18516493,457.9455419
132,121.0865631,518.9572337,0.999999404,55.15284348,474.7845471,1,121.0865631,518.9572337,55.15284348,474.7845471
133,165.7127752,467.3071046,1,58.24561679,489.8140943,0.999999881,165.7127752,467.3071046,58.24561679,489.8140943
134,186.6516223,424.0274935,1,64.07512045,502.6439929,1,186.6516223,424.0274935,64.07512045,502.6439929
135,188.662191,407.2016106,0.999999881,68.42756173,520.3585496,1,188.662191,407.2016106,68.42756173,520.3585496
136,189.954185,384.4420114,0.999999881,71.97403288,537.955442,1,189.954185,384.4420114,71.97403288,537.955442
137,187.0985776,364.7417432,0.999999642,75.49311525,556.3964012,1,187.0985776,364.7417432,75.49311525,556.3964012
138,176.1723766,348.6936344,0.999999881,83.75887047,572.772465,1,176.1723766,348.6936344,83.75887047,572.772465
139,165.8529106,336.4912422,0.999999285,94.71561837,582.1290958,0.999999881,165.8529106,336.4912422,94.71561837,582.1290958
140,158.7651594,345.0261111,0.999961019,100.2395929,590.9906681,0.999998689,158.7651594,345.0261111,100.2395929,590.9906681
141,149.9207191,368.3672912,0.991499245,105.1526423,594.9584162,0.997262359,149.9207191,368.3672912,105.1526423,594.9584162
142,143.7825627,376.347918,0.989225805,111.1497519,609.3215098,0.040137086,143.7825627,376.347918,111.1497519,
143,140.8421772,390.8185053,0.999994874,110.3105741,611.0573168,0.018397626,140.8421772,390.8185053,110.3105741,
144,139.204513,403.0954344,0.999999166,110.4343214,610.8791375,0.017508302,139.204513,403.0954344,110.4343214,
145,137.3686171,418.2797335,0.999999642,119.4961381,614.618495,0.00606258,137.3686171,418.2797335,119.4961381,
146,141.9237679,435.7117135,1,120.6250658,615.3339987,0.008562976,141.9237679,435.7117135,120.6250658,
147,145.4204707,449.829915,0.999999881,119.3180346,615.0238152,0.002737445,145.4204707,449.829915,119.3180346,
148,147.2472121,464.6219878,0.999999881,88.42978144,606.1364353,0.881213486,147.2472121,464.6219878,88.42978144,
149,143.0331388,479.2378345,0.999999404,64.04345918,552.7161033,1,143.0331388,479.2378345,64.04345918,552.7161033
150,130.7825204,492.6548843,0.999999762,43.66201258,457.3948908,1,130.7825204,492.6548843,43.66201258,457.3948908
151,120.034193,508.7345177,0.999999642,40.24427319,399.6861358,0.999997616,120.034193,508.7345177,40.24427319,399.6861358
152,112.9719198,520.6901994,0.99999845,64.74078345,377.2490556,0.156202346,112.9719198,520.6901994,64.74078345,
153,105.5619631,532.4326647,0.999999881,2.136620402,0.295200586,0.000157553,105.5619631,532.4326647,,
154,100.4141569,542.3840699,0.999999881,67.97739124,344.6405931,0.000145986,100.4141569,542.3840699,67.97739124,
155,96.54659104,550.2471683,0.999999762,79.54794478,370.9208974,0.999997735,96.54659104,550.2471683,79.54794478,370.9208974
156,94.66487241,564.5192645,1,83.91025638,387.1218556,1,94.66487241,564.5192645,83.91025638,387.1218556
157,93.14914751,572.7980945,0.999999881,88.67966652,394.971678,1,93.14914751,572.7980945,88.67966652,394.971678
158,94.92292523,580.7616383,0.999999881,88.36349058,408.0626407,1,94.92292523,580.7616383,88.36349058,408.0626407
159,95.2057128,588.0272666,0.999996901,88.08181286,424.1982903,1,95.2057128,588.0272666,88.08181286,424.1982903
160,94.37722063,593.7013419,0.998544335,84.01639337,447.638274,1,94.37722063,593.7013419,84.01639337,447.638274
161,100.4670296,594.8539373,0.994433939,77.39013278,475.6785341,1,100.4670296,594.8539373,77.39013278,475.6785341
162,130.1181297,583.5128124,1,75.21467066,497.0310338,1,130.1181297,583.5128124,75.21467066,497.0310338
163,181.7495172,533.8687321,0.999999881,72.27250385,520.060926,1,181.7495172,533.8687321,72.27250385,520.060926
164,216.2186546,451.8054502,1,76.26345044,540.0006351,1,216.2186546,451.8054502,76.26345044,540.0006351
165,234.0270526,407.8165557,1,89.5104661,553.0268002,1,234.0270526,407.8165557,89.5104661,553.0268002
166,222.0248048,372.9318103,0.999998212,101.2717143,564.0836865,1,222.0248048,372.9318103,101.2717143,564.0836865
167,205.6300969,345.6306138,0.999975562,107.7134106,575.5742126,0.999999881,205.6300969,345.6306138,107.7134106,575.5742126
168,185.4221735,336.2516737,0.999997258,115.79757,582.9980917,0.999999404,185.4221735,336.2516737,115.79757,582.9980917
169,169.888124,359.5326011,0.999849916,120.7899947,587.3104182,0.99999702,169.888124,359.5326011,120.7899947,587.3104182
170,161.0750918,372.9563065,0.829964817,128.281496,594.503916,0.999764621,,,128.281496,594.503916
171,157.3321098,378.4369574,0.992597699,134.0300291,601.2747426,0.994544387,157.3321098,378.4369574,134.0300291,601.2747426
172,155.485294,388.8327972,0.999999046,134.676645,610.5231986,0.653064013,155.485294,388.8327972,134.676645,
173,155.0752178,404.5342835,0.999999046,139.6763888,614.8089094,0.008243256,155.0752178,404.5342835,139.6763888,
174,154.7960699,419.6824305,0.999998927,138.4872755,613.4404697,0.019625647,154.7960699,419.6824305,138.4872755,
175,149.0065893,437.5854313,0.999999881,137.5701482,613.808321,0.120747656,149.0065893,437.5854313,137.5701482,
176,150.179883,454.3690755,1,109.8034841,612.725997,0.015297079,150.179883,454.3690755,109.8034841,
177,149.8517457,466.6291033,1,79.64930868,583.54895,0.999999762,149.8517457,466.6291033,79.64930868,583.54895
178,141.2004566,479.492044,0.999999881,46.30251169,498.1406045,1,141.2004566,479.492044,46.30251169,498.1406045
179,127.7419336,494.325422,0.999999642,38.02068186,434.451591,1,127.7419336,494.325422,38.02068186,434.451591
180,115.7179152,499.9971653,1,53.2351346,393.369436,0.647878647,115.7179152,499.9971653,53.2351346,
181,107.9333711,508.8600152,0.999999762,1.977854729,0.423004389,0.0008084,107.9333711,508.8600152,,
182,98.75120306,514.8883278,1,61.54255855,528.7883794,0.000647518,98.75120306,514.8883278,61.54255855,
183,95.88938832,523.7264846,0.999999881,58.95664155,351.3966508,0.003466926,95.88938832,523.7264846,58.95664155,
184,93.05387723,534.1399391,1,59.02639842,382.4450407,0.999998927,93.05387723,534.1399391,59.02639842,382.4450407
185,89.57685566,546.7216468,1,70.39814115,397.7549564,0.999999404,89.57685566,546.7216468,70.39814115,397.7549564
186,89.21408129,557.6193917,1,75.30855179,416.5019343,0.999999881,89.21408129,557.6193917,75.30855179,416.5019343
187,88.75215936,567.3584669,1,76.99529338,433.5072536,1,88.75215936,567.3584669,76.99529338,433.5072536
188,96.0119648,564.033295,1,77.51496673,446.9347091,0.999999523,96.0119648,564.033295,77.51496673,446.9347091
189,119.0971096,541.9509093,0.999999881,76.36609808,465.2818639,0.999999881,119.0971096,541.9509093,76.36609808,465.2818639
190,175.5322309,479.861449,1,78.46273971,482.9471542,1,175.5322309,479.861449,78.46273971,482.9471542
191,210.1647698,417.6885014,1,92.91493225,500.4835681,1,210.1647698,417.6885014,92.91493225,500.4835681
192,216.9756825,381.2217358,0.999999523,102.389966,513.2603564,1,216.9756825,381.2217358,102.389966,513.2603564
193,207.4980235,353.5454664,0.999997735,104.6393123,523.229365,1,207.4980235,353.5454664,104.6393123,523.229365
194,199.5568655,345.7578144,0.999999046,107.4171386,531.2612228,1,199.5568655,345.7578144,107.4171386,531.2612228
195,185.1662498,343.8327212,0.999909759,110.3619332,541.0655893,1,185.1662498,343.8327212,110.3619332,541.0655893
196,172.5524081,377.4350395,0.999294758,110.7543855,554.0181618,1,172.5524081,377.4350395,110.7543855,554.0181618
197,164.4981293,380.4797206,0.99987936,111.1885285,569.2505906,1,164.4981293,380.4797206,111.1885285,569.2505906
198,162.9918252,390.756973,0.999999046,112.6320043,578.9286374,1,162.9918252,390.756973,112.6320043,578.9286374
199,161.1699929,400.1914337,0.999998808,115.6442054,588.5384564,0.999999881,161.1699929,400.1914337,115.6442054,588.5384564
200,163.6093868,407.7563946,0.999999881,119.7841587,592.0476456,0.999994874,163.6093868,407.7563946,119.7841587,592.0476456
201,163.8430099,416.258595,0.999999881,120.3937883,596.1252698,0.999989748,163.8430099,416.258595,120.3937883,596.1252698
202,163.9112677,427.8826282,1,119.5091209,597.9848604,0.999996305,163.9112677,427.8826282,119.5091209,597.9848604
203,166.5583637,438.7583504,1,102.2496326,574.3161833,1,166.5583637,438.7583504,102.2496326,574.3161833
204,161.7668488,448.4765525,1,73.32639122,498.4686862,1,161.7668488,448.4765525,73.32639122,498.4686862
205,151.7081127,459.0850086,1,59.39910173,423.2655082,1,151.7081127,459.0850086,59.39910173,423.2655082
206,144.8867669,467.1910878,1,64.48796415,380.7501997,0.998523176,144.8867669,467.1910878,64.48796415,380.7501997
207,135.0568845,476.9604371,1,79.35894346,356.3044966,0.995817006,135.0568845,476.9604371,79.35894346,356.3044966
208,129.3176043,484.6890267,0.999999881,88.402915,335.9752846,0.999807417,129.3176043,484.6890267,88.402915,335.9752846
209,122.3749676,493.7972972,0.999999881,89.70791841,335.8241582,0.999997973,122.3749676,493.7972972,89.70791841,335.8241582
210,118.5194707,503.4200933,0.999999881,103.2437668,355.8585788,0.990298986,118.5194707,503.4200933,103.2437668,355.8585788
211,112.7547874,517.1490161,1,105.5080037,373.4918673,0.999999285,112.7547874,517.1490161,105.5080037,373.4918673
212,110.9456327,527.5598392,0.999999881,107.4423805,385.1661885,0.999999881,110.9456327,527.5598392,107.4423805,385.1661885
213,108.554294,538.7214535,0.999999642,106.276446,398.7036307,0.999999523,108.554294,538.7214535,106.276446,398.7036307
214,106.1160589,548.7816073,1,103.1004679,411.2396374,1,106.1160589,548.7816073,103.1004679,411.2396374
215,104.254952,556.5851236,0.999999881,100.0815783,424.0534015,1,104.254952,556.5851236,100.0815783,424.0534015
216,102.4618406,566.7157474,1,96.95353365,441.0587831,1,102.4618406,566.7157474,96.95353365,441.0587831
217,103.139791,578.1459637,1,91.85864957,456.2560029,0.999999642,103.139791,578.1459637,91.85864957,456.2560029
218,103.6670051,582.3191347,1,91.25858569,468.8886399,0.999999642,103.6670051,582.3191347,91.25858569,468.8886399
219,106.0977168,582.4494679,0.999999881,87.74945045,483.6893882,0.999999881,106.0977168,582.4494679,87.74945045,483.6893882
220,115.1314327,574.8702946,0.999999523,81.37278652,505.1832867,1,115.1314327,574.8702946,81.37278652,505.1832867
221,134.2416353,564.4396436,0.999998808,80.49591303,524.3007842,1,134.2416353,564.4396436,80.49591303,524.3007842
222,173.8661911,513.2972214,0.999999404,83.49116057,542.385828,1,173.8661911,513.2972214,83.49116057,542.385828
223,203.0924495,450.9083484,1,85.06129658,553.8366075,1,203.0924495,450.9083484,85.06129658,553.8366075
224,219.8150598,408.7490005,1,92.93878669,565.3870475,1,219.8150598,408.7490005,92.93878669,565.3870475
225,225.1448903,383.61465,1,103.5582819,573.6269455,1,225.1448903,383.61465,103.5582819,573.6269455
226,218.1772951,363.4953647,0.999999762,113.3808963,583.5751791,0.999999642,218.1772951,363.4953647,113.3808963,583.5751791
227,208.2423279,346.2644335,0.999998331,119.4786415,588.4454395,0.999990582,208.2423279,346.2644335,119.4786415,588.4454395
228,193.164017,335.988435,0.999994516,128.1912072,589.7240756,0.999985337,193.164017,335.988435,128.1912072,589.7240756
229,183.1039612,325.8446629,0.999999404,135.3130014,592.1154528,0.999995947,183.1039612,325.8446629,135.3130014,592.1154528
230,177.9104807,334.67576,0.999998212,137.3860588,594.1303225,0.99982506,177.9104807,334.67576,137.3860588,594.1303225
231,171.9521524,357.0081186,0.998658538,138.2988644,596.048675,0.999481142,171.9521524,357.0081186,138.2988644,596.048675
232,172.4155777,360.662447,0.999964118,140.632164,599.4877691,0.997423768,172.4155777,360.662447,140.632164,599.4877691
233,168.1715693,370.0513632,0.999996424,139.9637323,608.8539381,0.957964003,168.1715693,370.0513632,139.9637323,608.8539381
234,168.3506427,381.0539323,0.999999046,141.4074932,612.0632715,0.013887672,168.3506427,381.0539323,141.4074932,
235,169.2857094,393.9784846,0.999999523,120.580874,610.7465382,0.002715232,169.2857094,393.9784846,120.580874,
236,167.5710692,408.6741276,0.999999762,103.6163037,592.269784,0.99994719,167.5710692,408.6741276,103.6163037,592.269784
237,162.572425,422.319356,0.999999881,75.16726446,518.6615779,1,162.572425,422.319356,75.16726446,518.6615779
