scorer,,,,
bodyparts,Lhand,,Rhand,
coords,x,y,x,y
272,222.629694,576.8069551,193.8705101,450.519311
273,222.3072152,576.4506938,194.0833383,452.1247699
274,222.2760701,583.3705881,192.9890537,460.8501331
275,222.6718426,590.7875776,192.3891921,477.7309023
276,250.3755137,554.0290313,188.0846978,490.6452265
277,296.3906054,461.7295145,187.3677698,499.4605217
278,319.3163826,390.4456429,193.8269806,508.529421
279,320.9283571,357.5064611,202.050221,517.2192138
280,296.0607572,328.0397305,206.2577796,525.3073334
281,278.3799255,314.0224714,209.0213256,531.0840761
282,246.7932699,325.8987794,210.4488999,543.8038213
283,231.4387341,331.6471798,209.8195567,554.5013636
284,226.0178318,349.8497685,211.1524634,569.502914
285,218.9982182,367.7749448,209.633007,581.0055351
286,209.2995222,386.1190481,208.3374417,587.8845223
287,209.3261766,405.8652164,202.7690541,592.5760074
288,208.4333014,426.2107061,190.3175497,577.5986073
289,205.2171769,446.0321431,151.9422989,523.7366993
290,202.9240057,472.7839222,122.1860142,423.9688106
291,196.8122293,491.0783715,118.1078997,351.0139999
292,194.7876855,511.1267469,135.5836906,318.9232938
293,194.9845644,532.0750022,144.4276164,294.0845046
294,198.4564359,550.4638267,157.0801859,315.3974543
295,200.1802077,570.447392,163.5713332,347.5850667
296,203.0285158,582.819134,171.223155,362.3804585
297,206.527528,592.2712884,172.0702346,378.7361274
298,,,175.6232753,394.8307478
299,249.1692777,572.4222686,182.0789587,411.3220547
300,277.9171181,482.8742471,187.1811986,421.8346537
301,290.1031772,400.2596641,192.6721742,439.9715986
302,292.7244512,361.9949799,198.9499221,455.787411
303,284.2116164,343.657913,204.2176961,474.2280445
304,276.0515653,338.9834793,206.4332068,487.5696738
305,269.3955816,337.0973344,211.8493656,503.2061656
306,258.2492101,355.2308437,215.5820847,517.957165
307,257.032944,365.4492581,218.1238661,536.472506
308,248.3686457,382.5648685,218.9567266,553.4659381
309,245.8035573,394.9971443,218.5131516,566.3972914
310,238.8205383,407.8334122,218.3025293,577.4055278
311,232.7613382,423.1908705,214.5665967,585.8757501
312,229.2146931,435.3400055,203.4028559,583.1624448
313,222.2681632,444.3967039,197.2081228,580.4386394
314,217.1537163,455.1644456,164.2452378,530.6672573
315,208.9596448,470.1317508,121.2670841,427.4749287
316,194.9623106,489.0476162,103.3742428,356.8767765
317,185.0206861,500.446955,120.2990103,316.7806056
318,179.4940873,514.3097733,128.6294408,308.0928292
319,177.8867271,527.51999,141.9497911,335.4685202
320,175.3185987,543.9476609,145.0489745,351.7531753
321,174.3248708,558.7601378,150.2371116,360.7785029
322,172.7725742,575.3305473,148.119203,373.9361883
323,178.0863686,590.4164364,147.565824,398.903969
324,212.5528433,564.3652256,150.9414957,420.0006201
325,251.0975015,489.3115692,156.6805449,444.5580013
326,273.3652983,410.4927969,161.1716793,466.8444171
327,280.8584337,364.0165264,167.2257154,489.0144053
328,270.005065,338.0221989,172.2396592,512.7932091
329,251.0806414,314.8544147,178.0840611,528.0005484
330,,,182.6815343,547.4418206
331,214.8578522,361.2484262,184.1803751,554.8841772
332,207.822319,371.1098061,189.0329142,562.5778102
333,206.0341709,387.6459478,194.9769347,578.3278021
334,206.8413935,405.6605277,197.5524919,586.6613998
335,207.2944951,417.6892531,201.0543675,590.771841
336,205.0221354,428.8168156,203.8704692,592.6232619
337,208.8885865,438.809731,208.3496928,595.5169662
338,207.6777639,443.9805613,210.3292723,598.7268662
339,207.8114877,449.2167811,212.651538,602.7607551
340,206.162704,454.7810669,,
341,207.1996784,457.658869,,
342,210.0254252,459.271887,,
343,215.4417453,460.1175326,,
344,221.2670041,461.4531274,,
345,219.4983307,462.6658704,,
346,214.9524093,464.3420293,,
347,213.7685257,466.6116929,,
348,213.8493764,472.2765825,,
349,211.8389141,472.6088104,,
350,208.20191,482.1722628,,
351,207.8827348,489.8730011,,
352,209.5556593,502.6798668,,
353,209.5476799,514.3345715,,
354,206.6447382,530.6485931,,
355,199.7309375,547.1332328,,
356,192.1928489,559.068368,,
357,188.5068957,568.1885757,,
358,187.6120296,575.045157,,
359,194.5923835,581.0001602,,
360,199.1313472,588.2331527,,
361,,,,
362,,,,
363,211.9755964,392.5400743,,
364,214.8142829,406.3977156,,
365,216.5631037,419.9871305,,
366,216.7982614,434.2615581,,
367,219.2022875,445.8910537,,
368,218.906981,463.6639142,,
369,218.4354472,478.0797889,,
370,219.2080731,493.9440858,,
371,221.502237,510.7648919,,
372,,,,
373,,,,
374,,,,
375,,,,
376,,,,
377,,,,
378,,,,
379,,,,
380,,,,
381,,,,
382,,,,
383,,,,
384,,,,
385,,,,
386,,,,
387,,,,
388,,,,
389,,,,
390,,,,
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,,,,
397,,,,
398,,,,
399,,,,
400,,,,
401,,,,
402,,,,
403,,,,
404,,,,
405,,,,
406,,,,
407,,,,
408,,,,
409,,,,
410,,,,
411,,,,
412,,,,
413,,,,
414,,,,
415,,,,
416,,,,
417,,,,
418,,,,
419,,,,
420,,,,
421,,,,
422,,,,
423,,,,
424,,,,
425,,,,
426,,,,
427,,,,
428,,,,
429,,,,
430,,,,
431,,,,
432,,,,
433,,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,,,,
440,,,,
441,,,,
442,,,,
443,,,,
444,,,,
445,,,,
446,,,,
447,,,,
448,,,,
449,,,,
450,,,,
451,,,,
452,,,,
453,,,,
454,,,,
455,,,,
456,,,,
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,,,,
463,,,,
464,,,,
465,,,,
466,,,,
467,,,,
468,,,,
469,,,,
470,,,,
471,,,,
472,,,,
473,,,,
474,,,,
475,,,,
476,,,,
477,,,,
478,,,,
479,,,,
480,,,,
481,,,,
