scorer,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000
bodyparts,LHand,LHand,LHand,RHand,RHand,RHand,RFinger1,RFinger1,RFinger1,RFinger2,RFinger2,RFinger2,RFinger3,RFinger3,RFinger3,RFinger4,RFinger4,RFinger4,LFinger1,LFinger1,LFinger1,LFinger2,LFinger2,LFinger2,LFinger3,LFinger3,LFinger3,LFinger4,LFinger4,LFinger4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
53,241.5066979,439.8275771,0.999999881,201.4677787,547.2793331,1,210.9874126,531.475171,0.99999845,217.0089936,541.1460954,0.999999762,218.8107587,556.8609011,0.999999881,214.0659389,566.1814444,1,230.9033985,423.9370821,0.998896599,216.1651521,439.7203326,0.999999881,221.5018594,452.3923771,1,230.6370187,461.5169584,0.999999762
54,243.8034199,458.7711176,0.999999881,197.7695804,561.6857843,1,211.5961949,543.7913792,1,213.3623478,555.5687993,1,217.4671645,571.1970226,0.999999881,208.625567,579.8971349,1,237.7481548,441.2844949,0.999275982,221.1894883,459.6324736,0.999998569,223.4395304,472.0453811,0.999999762,232.6750934,479.1269474,0.999999762
55,242.3892868,469.6211623,1,190.1108069,566.1163821,1,207.2416449,552.1517415,1,207.8129597,566.2692466,1,209.5986006,578.9472661,1,200.3136883,587.2271969,1,234.6678355,455.0092525,0.999968171,217.5780354,470.8449001,0.999999642,221.470853,483.7124649,0.999999881,230.5457764,491.279218,0.999999762
56,238.0410624,482.139838,0.999999762,185.6881189,555.930777,1,198.6240501,558.8624766,0.999997258,194.791535,572.347053,0.999997139,192.7453492,580.6437348,0.999979258,182.2702911,579.6948395,0.999998212,228.7963542,467.6276192,0.999969721,215.296592,483.3943352,1,217.6034551,496.4948204,0.999999881,226.0233928,502.9832754,0.999999881
57,236.5149789,495.3843763,0.999999404,147.9103434,505.1010604,0.999999881,166.4078009,504.2439854,0.999463379,169.8192854,525.0929687,0.999999166,163.2297877,537.5136638,0.999999881,149.3386381,533.8633476,0.999999523,229.2506465,479.1879284,0.999994874,214.6140835,495.0541406,1,217.2926998,506.9521393,0.999998808,223.4318433,514.4219494,1
58,228.9557807,504.3505249,0.999999881,124.0914129,406.3503778,0.998863459,138.5558202,412.2814388,0.982772589,137.4634984,411.7854984,0.999069273,133.5077641,417.3030717,0.998784602,129.2939336,420.0466112,0.999706805,222.716573,487.214896,0.999972343,205.9615822,505.0270829,0.999999642,208.4360127,518.6566424,0.999999523,216.7108645,524.712263,0.999999523
59,220.0899196,514.6147069,0.999999762,122.3684168,347.5736518,0.999982953,144.5566175,345.3229675,0.999996424,136.862864,339.235664,0.99998796,131.0034009,347.6039949,0.999996662,129.9312949,358.9810069,0.999999881,209.3110662,498.4806148,0.999910593,195.6198919,514.8142096,1,197.8720826,529.2816508,0.999999881,207.3152382,534.7992373,0.999998212
60,209.4373107,521.4727249,0.999999523,150.0637546,313.8864686,0.999999166,158.7704973,293.9100684,1,147.2453808,287.3721452,0.999999881,142.3246481,300.5462926,0.999999523,142.1189194,316.2457299,0.999999642,201.5708795,502.4485219,0.999628663,187.02242,521.2523236,0.999995828,189.3291632,535.9112153,0.99999845,197.1682478,542.1520152,0.99999845
61,205.4582068,528.6346593,0.999999642,160.6257768,294.3416684,0.999999881,170.6711805,270.994288,0.99999249,159.1297059,268.4108738,1,154.3069577,281.1375833,0.999999762,153.4502902,300.0334448,0.999999642,195.129797,511.4841819,0.999963164,180.1364401,529.6654661,1,182.4707623,544.1755586,0.999999762,191.6489978,548.9346135,0.999999881
62,201.3360834,533.7357041,0.999999642,178.371407,314.2501817,0.999996066,190.7408142,276.4537214,0.227370813,188.3825636,281.2272127,0.999999881,179.0133218,294.7202363,0.999999523,169.3424768,321.546643,0.999999046,191.7674966,515.9974992,0.999939919,177.944757,534.5418692,0.999999762,181.3840643,549.507719,0.999999881,190.7395847,554.1042532,0.999999523
63,206.5934188,544.6177609,0.999997497,181.4763273,320.8442979,1,195.7411395,294.0381963,1,201.527746,311.1011128,0.999999881,198.5257215,328.6119795,0.999999642,183.4925179,345.5466146,1,194.5832719,528.8406811,0.996773183,180.5347301,546.1412207,0.999998808,184.2474732,561.8869977,0.999996662,193.0679355,565.4919702,0.999998331
64,205.7267174,556.2831809,0.999999881,183.7154758,337.0450354,1,199.2469308,307.8730372,1,210.7762363,325.5262604,1,204.5299289,342.450774,0.999999881,192.0740528,359.7177026,0.999999881,193.623467,542.0860238,0.996752501,183.3258774,558.8344326,0.999999762,187.4392707,572.3294048,0.999999285,196.6020128,577.7910786,1
65,211.0025772,568.7659717,0.999999881,184.3076696,350.6463273,1,199.7309165,321.9113932,1,212.8282952,341.1740171,1,207.5532088,354.4876848,0.999999881,194.1584824,373.0782508,1,193.7803159,557.034057,0.971474528,185.0019531,574.8700051,0.999997616,190.4645417,588.4353314,0.999998808,205.2344297,590.3328342,0.999999523
66,214.100054,582.1738627,1,185.4357886,365.0928633,1,201.0647383,336.5717072,0.999999881,215.9096029,357.6115519,1,211.8115167,369.4449832,1,197.7025071,385.5782547,0.999999881,199.4739017,569.4543462,0.99731952,190.0075839,588.6169713,0.999955654,196.4017237,600.8812008,0.999949217,210.4138924,601.7439456,0.999641061
67,221.1354716,588.3553265,0.999988437,184.5972223,382.0205705,1,200.797894,350.2959414,0.999999881,218.5013031,375.470103,0.999999881,214.0020461,385.2343366,1,198.4869168,399.6071043,0.999999762,201.4195008,587.0749374,0.987153351,204.7220418,600.6895623,0.118978575,213.5953188,604.1177593,0.048188701,223.9102602,606.0418446,0.045382921
68,241.6805673,557.2595223,0.999917507,184.0895538,393.6586142,1,199.4336395,363.2902939,1,215.3250012,386.6799012,1,213.7683315,399.3237939,1,197.829518,410.5985773,1,214.0726652,575.3868852,0.991342664,219.6354494,590.5586953,0.999978185,232.0484056,592.1580606,0.999973059,245.9167336,579.1882702,0.999998093
69,278.0799029,486.43257,0.999999762,183.8767211,404.263801,1,199.7641706,374.6246142,1,215.3391359,397.3477141,1,214.2351291,409.8425889,1,198.8233466,421.9544723,1,249.6538157,500.9069739,0.999999642,253.1639994,520.2848988,0.999999762,264.057951,523.1605923,0.999999404,277.5677242,513.8793311,0.999999166
70,301.1800408,406.0146043,1,188.5802361,417.0599992,1,203.2511614,386.2057101,0.999999881,221.597796,409.6898305,0.999999881,221.242582,419.4256446,1,202.1554035,434.0387967,0.999999762,275.7155865,404.6115552,1,275.155696,411.4365501,1,279.7485058,417.0032775,1,286.1263032,424.9360948,0.999999881
71,316.7984611,364.8492526,0.999743521,195.4311666,428.8491406,1,209.9449403,396.6360837,1,230.4431729,421.4319588,1,228.2356274,431.2803142,1,215.3089256,443.41342,0.999999881,293.2933528,345.6900401,0.999995112,305.3763542,344.2675076,0.999929905,304.7407079,352.9261847,0.987581849,302.8663027,361.4794009,0.569344521
72,304.739903,322.0526365,0.999905467,200.9713888,443.977295,1,216.8091102,412.6330445,0.999999642,234.6386185,438.2231767,1,231.6752663,448.5900576,1,218.0940756,459.726793,1,282.2375772,295.5725288,0.188949794,284.8727804,292.5570799,0.999997258,287.4571905,301.588284,0.999587238,283.0420463,322.4935719,0.998146892
73,268.8926464,295.9923339,0.999965906,206.6609015,457.6667321,0.999999881,221.177483,428.0442667,0.999999762,236.0256391,450.9584854,0.999999881,235.6650148,462.1204171,0.999999881,222.8947308,472.5575604,0.999999762,251.2296871,270.8813002,0.999688268,254.9303265,268.837936,0.999998689,254.556458,277.4731845,0.999993205,258.0634428,296.1501424,0.999966741
74,244.9102023,308.7191201,0.999999166,207.7210994,469.0147634,1,221.4152002,438.9519083,1,235.3270282,461.8930745,0.999999881,235.3228672,474.2928832,1,224.7434525,485.3228567,1,232.2214022,274.1661171,0.999587953,238.302927,276.8281488,0.999999166,238.6196394,292.1724309,0.997794271,238.7519026,318.6785097,0.996140182
75,230.3298242,336.0842302,0.999977469,204.0441351,483.5541595,1,218.4488698,453.8081224,1,232.9926186,477.4836529,0.999999881,232.5863276,490.3804302,1,221.1191478,500.7555423,1,218.7472638,307.5660827,0.999997973,210.0892191,320.9081113,0.999990344,209.80478,335.2375517,0.999985456,222.1430881,351.1669135,0.999999404
76,233.5184422,355.4106098,0.999994755,207.2171373,501.0083344,1,221.5146821,474.0436155,1,234.0690765,498.4070858,1,233.205934,511.461139,0.999999881,223.6141219,520.1946964,0.999999881,220.8171852,327.2975221,0.999997497,212.1600929,345.9184139,0.999993563,212.6390576,363.3337866,0.999998569,225.1245067,375.7726018,0.999999881
77,233.9749315,374.8884733,0.999998808,207.5740595,520.3402486,1,222.3923922,493.1292377,0.999999881,233.5955184,516.8211613,1,231.8681355,529.4970694,1,223.2547934,539.9058329,0.999999881,224.335943,347.2714813,0.999989152,212.8243629,371.5179286,0.999998331,212.9413882,386.3469356,0.999999881,226.6130918,396.7728623,0.999999881
78,235.1059418,390.0720139,0.999999642,208.9438605,535.5781214,1,224.4572227,508.7293794,1,233.9515729,531.8881559,1,231.8615518,544.2462392,1,223.576375,554.8155742,1,225.0206888,369.1035485,0.999997377,215.4085531,386.5294255,0.999999285,214.4182761,401.845046,0.999998808,226.6818147,411.4699503,0.999999881
79,237.6397302,410.531363,0.999998808,208.5242205,553.3030159,1,225.0501647,529.3662782,1,231.1366246,550.3085063,1,230.3455749,562.9087561,1,220.9317077,574.7417009,1,227.0309347,391.9633217,0.999999642,215.8590767,409.9467187,0.999997497,217.995533,426.5645311,0.999983907,227.4406743,434.8179867,1
80,241.9828663,432.8197365,0.999999166,203.1379017,562.3804407,1,229.174315,551.7155225,0.999999642,228.1374634,569.7180109,1,223.5566463,581.1178896,1,210.2481033,589.5176316,0.999999881,230.6098979,416.2537601,0.999999046,222.0671494,431.7562804,0.999999642,223.9068053,445.9334034,0.999995232,231.9443352,457.1234925,0.999999642
81,245.5450412,454.8364191,0.999999881,196.8146253,562.9362556,1,224.8884711,563.2489446,0.999991417,221.1120173,577.2977886,0.999998927,210.4903483,588.8730589,0.999999523,194.8666892,589.188755,0.999999642,234.7476735,437.4824717,0.999999404,224.186734,452.2874747,0.999999881,224.094686,468.6152585,0.999999881,234.6859492,478.7540593,0.999999762
82,248.7770514,474.6190057,0.999999166,174.5545042,536.4699993,0.999999642,201.1970887,543.4167213,0.999897957,197.4039655,561.2031293,0.999993682,185.8329811,569.4758482,0.999999642,172.1403928,561.8550355,0.999999881,237.8215545,457.8201027,0.999994755,227.9784717,474.7692012,0.999999881,230.4860129,487.9138901,0.999999642,238.6228199,496.748385,1
83,245.7789631,489.3761482,0.999999881,138.8927197,448.6312919,1,163.7319625,453.4306487,0.998131931,161.0407186,460.0300701,0.999996781,155.7655661,468.2168746,0.999999285,145.6661022,473.6194081,0.999999523,234.3783834,472.1019192,0.999983668,223.6224089,489.6467834,0.999999046,225.9321184,503.5407009,0.999999881,234.5541044,511.8522415,1
84,236.3022557,503.9113901,0.999999762,134.9123018,357.6998756,1,160.967989,361.8758531,0.999995112,154.1200203,359.3460522,0.999924183,145.413718,361.8640835,0.999996305,142.7321496,370.9106013,0.999992609,223.4575515,485.4452937,0.999999762,214.5780227,501.702368,1,216.5393128,515.2623805,1,225.4730148,524.8490848,0.999999881
85,227.1838781,518.2875879,0.999999881,158.7356915,317.3601995,0.999999881,169.1738572,294.6916325,0.999999881,159.6107714,291.0194266,1,152.9341202,302.9270475,1,153.353219,319.1517615,0.999999881,214.3837476,501.7812186,1,206.4707742,516.9321352,1,207.8231983,529.680486,0.999999881,217.7237756,539.0228294,0.999999642
86,223.2328837,538.9741968,0.999998927,165.8742694,301.5740197,0.999998093,174.2764945,275.7444507,0.998246789,163.6877285,271.8716664,0.999999523,155.3643048,283.0240177,0.999999762,154.7538913,310.6908929,0.999999762,210.4659163,523.1698235,0.999999762,201.4747086,539.5849862,0.999999285,205.5698704,551.4607258,0.999999762,215.4880261,559.9530306,0.999999881
87,221.4037092,550.7655602,0.999999762,177.7220602,331.4533787,0.999998808,201.2285841,576.9447193,0.000277679,188.5681792,300.0732322,0.999997735,178.8726583,316.8738005,0.999966025,167.2762198,340.9095856,1,209.6960084,534.6154053,1,199.3896117,551.3930902,0.999999404,202.0208459,564.6348388,0.999999881,210.6648135,571.8848645,0.999999881
88,217.3926799,566.5374291,1,183.8294251,351.8697309,0.999999762,195.614553,323.7343029,0.124908961,202.2872462,333.0959488,0.999997854,200.7984779,353.9149585,0.999999762,180.5443398,366.0189764,1,208.0111694,548.5915959,0.999999762,198.9503827,567.3278294,1,201.4404068,578.477095,1,208.7242119,585.7269359,0.999999881
89,220.97409,581.0103927,1,187.7165187,364.0078879,0.999999762,198.3004086,338.3885183,0.999028802,205.8057498,346.725479,0.999999404,205.3349519,368.0524731,0.999998808,186.0775468,379.9870822,1,207.715982,564.1780659,0.999954939,200.8307033,582.3314002,1,204.3549514,595.1826243,0.999999166,214.2287915,601.0211463,0.999994874
90,226.2769098,593.7335203,0.999981046,188.7375352,381.6146559,0.999999881,198.9484997,355.9993555,0.999925137,207.960506,366.8593049,0.99999845,208.406872,386.5054369,0.999999881,188.4963741,396.6212649,1,208.3756404,578.8470458,0.997798979,202.5563759,594.0180521,0.99948895,210.8555782,607.2389007,0.203531668,218.9274224,613.1951952,0.010978433
91,229.2293417,604.2953022,0.277806163,183.0927365,393.9714646,1,191.4435487,371.6414617,0.999958515,204.258596,383.0103807,0.999999642,205.7170203,401.8891933,0.999999762,184.0754161,411.5722415,1,213.6218925,595.3577915,0.488488466,212.2790871,607.4682357,0.06805297,226.8737001,607.0518904,0.007591594,207.6823249,401.4051723,0.00023099
92,267.8717278,531.9987445,0.999984026,181.1774215,407.539767,1,192.2913063,383.9129095,0.604385376,200.9348104,395.623724,0.999999881,202.2597474,412.3815306,0.999999642,184.3151011,423.7958369,0.999999881,236.0112311,548.1709465,0.999929786,243.3784686,565.2781847,0.999999642,257.4067054,567.5678756,0.999998569,270.8993566,557.265352,0.999997616
93,295.5115216,442.6356668,1,182.4926224,419.881948,1,194.1771715,397.3294709,0.996710181,205.9884248,408.9499812,0.999999762,207.6733053,426.9144168,0.999999762,186.9569236,435.0578377,1,264.7537365,445.5129818,0.999999166,269.9365469,452.3313164,1,277.1106391,460.3805334,1,286.3641517,464.4466224,1
94,310.23155,381.020152,1,191.2955985,431.4327497,1,202.555737,409.1398177,0.987488687,213.8756597,419.9280857,0.999999762,216.4390404,437.5709904,0.999999881,195.7749456,444.6302037,1,280.73487,372.3098128,0.99999845,285.0593472,370.688135,0.999999285,290.1167169,380.7014033,0.999999166,291.8465387,390.8239584,0.999999881
95,301.3844571,337.055712,0.999993324,199.8908689,441.8739686,1,211.5647211,419.771719,0.280111015,220.3492308,428.8530989,0.999999404,224.2400093,446.3974609,0.999999881,204.0968499,457.0715661,0.999999881,277.3707722,315.0301528,0.99712038,279.1078954,311.3720012,0.999998808,277.5402446,321.6243579,0.999939203,274.9645802,340.6205986,0.999977589
96,273.5394607,317.0593817,0.999043763,205.4889756,460.1949648,1,218.3332973,437.6703153,0.443265319,224.5003517,444.8985299,0.999999523,226.8301369,462.8515749,0.999999762,214.4139349,472.9800682,1,265.226254,284.4006563,0.170408517,263.8722699,282.098452,0.999979973,259.0512248,292.7367917,0.999996185,257.5761049,321.369673,0.99935025
97,252.4360034,303.5328665,0.999994516,207.4574723,477.1031954,1,221.3652351,455.0147567,0.852211475,225.4411554,460.5694488,0.999999762,228.0119287,477.8615339,1,217.884707,488.6674848,1,239.057662,273.1832979,0.993126869,238.5156124,277.9131322,0.999999642,233.2421153,291.0978693,0.999995828,238.1425202,314.2563794,0.99995625
98,229.0094833,334.5307062,0.999932766,207.0058253,493.1867453,1,217.7965598,474.9547696,0.999992609,225.6772249,485.0442759,0.999999881,229.0052665,497.8566346,0.999999881,218.4126968,505.9839673,0.999999881,215.6455104,304.8322155,0.996211886,206.9103496,312.3632178,0.999989986,205.2689902,327.4584429,0.99951601,216.7239156,347.1373693,0.999995589
99,215.9677596,355.9110725,0.999992728,206.3448544,516.9441027,1,216.3372679,500.1915721,0.999999285,222.716068,509.7586097,0.999998927,225.7833638,523.3641266,0.999999642,217.5665722,531.4893944,1,206.1363463,331.2569497,0.9903391,191.0309124,345.7346418,0.999999642,189.5628823,362.5658802,0.999999523,205.7735374,375.8496211,0.999999523
100,216.2674074,377.6610041,0.99999702,205.2221665,535.2164104,1,215.0516195,520.613261,0.999999762,220.8605974,530.3732857,1,221.3799496,542.384094,0.999999642,217.9778783,552.3329,1,209.0435438,353.6300261,0.999997735,188.0042557,371.8296491,1,188.9690886,385.9019146,0.999999881,209.2891388,399.1610222,0.999999166
101,214.2667444,394.4275967,0.999999762,201.9594293,552.6939235,1,211.7159865,539.4006314,0.999999642,215.9514165,550.9332025,0.999999881,216.4059625,561.2994623,1,210.9300089,570.9025432,1,203.1300111,371.7839051,0.999997973,185.1634746,392.4954085,0.999999523,186.0904948,406.7385612,0.999999881,203.0989602,415.8287945,0.999999881
102,215.8676662,411.47247,0.999999881,199.0657454,566.57933,1,207.7689776,553.9281216,0.999998689,212.741101,566.8222587,1,214.5886354,576.7275429,0.999999881,204.6964696,585.8794975,0.999999762,203.259922,390.1527336,0.999991298,185.5532389,410.7521006,0.999999881,187.1787658,425.7401395,0.999999881,203.5043788,434.8279293,1
103,214.2272892,432.9314966,0.999999762,196.9159317,585.9280486,1,207.9172912,576.5405016,0.999995112,217.3761611,590.5047808,0.999707401,215.5924077,598.6922724,0.989702761,205.026168,606.3862498,0.618102431,203.0466831,410.7962464,0.999994278,184.5703301,432.8785787,1,186.4524118,446.2835252,0.999999762,203.8629723,456.9652371,1
104,216.2410293,457.0977116,0.999999642,193.4496498,600.9228911,0.908174276,203.8742488,596.0016079,0.388807237,210.7188926,606.1202285,0.00799708,185.9067564,467.5879048,0.00102899,190.7698545,479.3094692,0.00080411,204.4084287,434.8604949,0.999999166,187.7944479,456.9783988,1,192.3050408,472.4368596,1,205.5502546,480.7568676,1
105,219.055041,485.816626,0.999999881,2.229780555,0.500549316,0.001431495,190.3530376,611.5388942,0.001229387,0.387966633,2.446902156,0.001991195,1.025691509,0.74096632,0.000398751,190.7028291,0.801543713,0.021935906,208.0571036,463.1065402,0.999992251,191.4048884,484.9056491,1,195.0790205,500.4113931,1,207.3145723,509.9897591,0.999999881
106,220.9717413,507.9216517,0.999998927,154.6150694,608.7174621,0.001180038,190.5402739,608.6617661,0.002785606,202.5078316,612.3174133,0.001030113,196.1566315,512.298883,0.00031637,200.3359869,529.0864685,0.000859045,211.1369945,484.5641285,0.999998927,195.0966541,505.1743016,1,197.2151231,520.5271931,1,210.1556196,529.2940807,1
107,221.2070932,530.315323,0.999999762,175.3653264,602.3788896,0.011127165,194.5999616,597.681344,0.049683224,200.6051962,609.3633366,0.001243884,209.4155159,527.0551708,0.000291513,166.3853054,1.479439974,0.022273514,213.1807498,508.0051116,0.999995828,195.8764267,529.2512569,1,199.4591022,544.6275954,1,209.8190293,551.982336,1
108,226.4591521,558.0980568,1,153.511554,579.0880926,0.999982715,175.671051,587.4390076,0.541221261,173.6830204,597.2894671,0.995755672,162.6357176,603.4575391,0.004322038,150.8437226,601.8337884,0.006464363,213.4986604,540.4844176,1,204.6025195,558.1121511,0.999999881,207.0844598,571.649074,0.999999642,216.8162618,580.0444761,1
109,230.5027199,583.0476305,0.999999881,117.5792942,500.9584087,1,138.1003245,496.1826863,0.967790961,143.0039132,508.6381217,0.99999094,134.9479387,519.7231569,0.999998569,130.9801363,527.5875056,0.999999762,214.9459867,566.4459238,0.999996901,208.4091804,586.1948609,0.999999642,212.4293064,599.8473866,0.999908566,224.8316238,605.7341087,0.996569753
110,220.0836765,595.9152967,0.740576267,119.8589573,408.1356282,0.983880341,138.6473715,415.3341746,0.851316392,135.3615704,410.8968502,0.815357924,125.6626929,417.1940308,0.986308038,125.1497613,417.9324124,0.889729023,204.1023147,580.4304286,0.907243848,200.0688553,597.4188974,0.989549279,204.4536695,609.9839444,0.092173316,213.7091799,613.781579,0.000747715
111,222.7401667,558.0507283,0.410579979,118.6561608,360.4873118,0.999986291,131.1716897,342.3573487,0.99999845,118.0920279,335.9816253,0.999998093,111.3447716,345.0105247,0.999986053,115.0800411,364.0343423,0.99999845,193.0109096,582.3885021,0.09576308,113.8849678,342.1289215,0.016483119,125.3703027,349.366653,0.016468639,130.2615933,369.9257216,0.013467375
112,1.019403934,1.32880187,0.034651235,135.8796301,331.9023854,0.999995589,145.3400445,307.1030223,0.99998343,130.2790426,303.3675718,0.999999285,122.0984626,312.9224267,0.999998808,123.8963919,346.4187627,0.999992609,183.0562301,585.040288,0.15284583,129.0692661,306.438168,0.059996124,143.8741436,306.7600247,0.001057949,134.6444407,350.6906466,0.004037541
113,191.509691,599.9392097,0.972399652,138.0322208,348.4858795,0.999999523,148.6764463,318.4368498,0.999927521,138.4289855,315.1270831,0.999998689,128.5778875,326.4560175,0.999999523,124.4869845,360.1655626,0.999999404,177.1001077,589.6204005,0.958904386,172.6598758,600.9682555,0.248143643,180.2177935,609.1901164,0.036609448,187.248023,612.7357101,0.007471961
114,0.906682253,1.482892752,0.012960915,151.6802585,368.2329655,0.999999762,166.7232337,329.3799801,0.614258111,166.7278082,334.0112357,0.999998093,155.9018316,353.3070056,0.99998188,139.7646786,382.1750391,0.999999642,183.6035757,607.9873838,0.044634424,180.9753849,612.2188902,0.001159954,186.1474105,612.1884413,0.001135618,186.0490078,609.293046,0.001278886
115,0.898849487,1.518107176,0.012504058,161.6970756,377.7161899,1,181.752032,349.9320161,1,181.3238555,363.6322277,1,179.2329153,384.3081331,0.999999881,161.1428647,399.2836201,1,191.8569446,609.0619607,0.00574733,184.1962008,611.8582368,0.00032319,200.9914412,610.9364901,0.00022443,181.9875555,395.3203467,0.000513228
116,1.423072338,1.503144026,0.035188232,168.971961,389.4392763,1,190.3343127,364.1576025,1,190.6960256,379.7280988,1,188.7640039,396.4300721,1,170.6919835,411.1108944,0.999999881,2.46649754,4.927531004,0.001179381,0.911519766,-0.308383465,0.000565984,3.861044928,3.859730929,0.000158942,0.30949688,2.616210699,0.000408974
117,1.180846691,1.460803986,0.114067778,168.4926453,402.6927232,1,190.8202319,381.2314638,1,191.5946751,397.0588847,1,191.2339725,413.4931623,0.999999881,171.9368839,425.6735075,0.999999762,242.6314733,335.7379198,0.949370027,0.925836325,-0.25433445,0.001634101,169.3455706,424.2244279,0.000760807,0.151691198,2.605958462,0.001084316
118,1.111819029,1.536816359,0.163836807,171.6944194,417.6739688,1,191.217721,394.4646028,1,197.5033672,411.5818536,1,198.328975,426.7691163,1,178.1258645,439.1155119,0.999999762,199.6167908,610.1870565,0.012935004,0.929169893,-0.329921722,0.00210284,172.2475805,438.2645855,0.001557483,0.080362082,2.668710828,0.001351298
119,1.135246277,1.584565401,0.047157064,173.8460222,431.2771175,1,192.8896656,405.2241218,1,200.8610659,424.0027142,1,203.3553767,435.7018688,1,181.353103,449.2403951,1,210.3734803,608.1071835,0.053300973,210.8025751,611.5490899,0.001552672,216.8581524,611.9630985,0.014870458,217.3308263,611.7054443,0.001284442
120,1.229473352,1.513176918,0.021261275,173.1740119,442.9621712,1,192.0068035,420.213457,1,197.372408,438.4050429,1,200.1918931,450.0439413,1,180.4286943,462.6010792,1,231.4254084,606.3187423,0.009006339,0.843656063,-0.558179379,0.000345638,203.5084496,-1.918957233,0.000165703,0.109906673,2.729914069,0.000325153
121,282.5556307,517.922996,1,174.6274736,457.0550556,1,192.7378316,434.6956308,1,198.2441041,452.8154974,1,201.6154218,463.9734411,1,180.6120223,475.5127916,1,255.353147,533.9784737,0.999999881,256.8108385,550.8622754,0.999999881,267.7214061,555.8037638,0.999997616,279.4427698,548.1536457,0.999999046
122,307.4394866,434.5993249,1,179.5451732,477.2221794,1,199.1063201,454.3861005,1,206.2949324,472.3409145,1,207.9827969,483.5890167,1,186.1651222,495.4263239,0.999999881,282.0687408,435.7125576,0.999999881,280.6623516,442.263361,0.999999762,286.6943283,448.0253887,1,291.4321294,454.4028132,1
123,315.941912,395.9574906,0.999957442,184.7957168,489.9395738,1,205.3026294,468.2674107,1,208.6783466,483.8934817,1,212.8210585,495.9132299,1,196.0458775,507.0278513,1,289.5555961,373.7359152,0.999999523,296.7791929,376.8202372,0.999999523,295.5513778,384.1150734,0.999895573,294.1645081,395.9420069,0.999746263
124,294.5588982,358.1116514,0.999962449,190.6954775,500.9637234,1,209.7551498,478.4878933,1,214.7832434,495.933229,1,217.3867083,508.8822106,1,202.298099,519.1818247,1,276.4743702,332.5265533,0.445982605,280.8191504,329.7851396,0.999998569,281.3731298,336.7816355,0.999875784,277.3102773,358.1859913,0.993762791
125,262.1616685,345.9613624,0.999996066,195.5210223,514.4985785,1,216.2430854,492.0640627,1,218.5059555,507.2858661,1,221.7439439,521.6436396,1,208.2976236,533.5562543,1,247.0141919,313.2580929,0.999982834,254.4804885,311.2204394,0.999999881,254.9519062,323.3966012,0.999978065,259.5631397,350.8621101,0.999993443
126,244.4888858,358.2644954,0.999997616,201.3207469,524.5261709,1,220.3698667,504.0069494,1,221.8069782,519.6530352,1,225.8070378,533.4716251,1,211.6897416,544.5619998,1,228.0013726,328.6982741,0.999996781,229.7005633,334.6779885,0.999996424,232.6664271,352.8941569,0.999911785,239.1366775,371.1207759,0.999999881
127,233.9577079,373.4617834,0.999994397,204.8289884,534.9640927,1,223.5032959,515.5678988,1,225.5124016,531.8436809,1,228.7004395,545.871305,1,216.811028,555.8315372,0.999999881,219.7983399,350.5301628,0.999995589,214.5003436,362.7518682,0.99999547,217.6299863,378.181018,0.999981284,228.9301112,389.8456506,0.999999881
128,235.1016217,388.1134699,0.999999404,206.4600086,549.5740253,1,225.0673537,530.2010525,1,224.8664398,545.8456759,1,227.0973768,560.1456943,1,217.4164186,569.2455554,0.999999881,223.607878,364.6352987,0.999985576,211.9811639,382.1529648,0.999999523,214.8064809,396.3270024,0.999999762,228.9356962,407.5383689,0.999999881
