scorer,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,DeepCut_resnet50_String Pull MergeMay22shuffle1_493000,delta x Lhand,delta y Lhand,Delta x Rhand,Delta y Rhand ,velocity x Lhand (pixels/s),velocity y Lhand (pixels/s),velocity x Rhand (pixels/s),velocity y Rhand (pixels/s),total velocity,Correlation coefficient,Max,Min
bodyparts,LHand,LHand,LHand,RHand,RHand,RHand,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,585.9807878,366.0079718
coords,x,y,likelihood,x,y,likelihood,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,573.5751723,350.6703038
27,167.0348458,386.8792001,1,110.4111056,551.0021985,0.999988675,-6.052052259,7.765234947,-2.173495352,5.500267565,-605.2052259,776.5234947,-217.3495352,550.0267565,591.4137751,,,
28,160.9827936,394.644435,0.999999762,108.2376103,556.502466,0.99998796,-3.052682042,10.46642387,-6.186380804,2.130494535,-305.2682042,1046.642387,-618.6380804,213.0494535,654.2959148,,,
29,157.9301115,405.1108589,0.999999881,102.0512295,558.6329606,0.999919772,-7.64368403,12.30660534,-8.520103574,4.736777842,-764.368403,1230.660534,-852.0103574,473.6777842,974.8293658,,,
30,150.2864275,417.4174643,0.999999881,93.5311259,563.3697384,0.999919534,-2.781867623,8.017093182,-10.15784013,-25.42207605,-278.1867623,801.7093182,-1015.784013,-2542.207605,2737.633406,,,
31,147.5045599,425.4345574,0.999999762,83.37328577,537.9476624,0.999900222,-8.54577899,16.16260147,-20.34352064,-86.45110637,-854.577899,1616.260147,-2034.352064,-8645.110637,8881.24576,,,
32,138.9587809,441.5971589,0.999999523,63.02976513,451.496556,1,-7.857957304,7.560270071,-5.447780609,-56.77740186,-785.7957304,756.0270071,-544.7780609,-5677.740186,5703.815982,,,
33,131.1008236,449.157429,1,57.58198452,394.7191541,1,-1.975285232,11.70530015,9.932889938,-36.33109593,-197.5285232,1170.530015,993.2889938,-3633.109593,3766.445054,,,
34,129.1255383,460.8627291,0.999999881,67.51487446,358.3880582,0.740157485,-6.438713789,7.315591857,4.436448574,-8.059707642,-643.8713789,731.5591857,443.6448574,-805.9707642,920.0052349,,,
35,122.6868246,468.178321,1,71.95132303,350.3283505,0.95499748,-5.670230865,7.931656756,5.435186982,2.905650854,-567.0230865,793.1656756,543.5186982,290.5650854,616.3121321,,,
36,117.0165937,476.1099777,0.999999881,77.38651001,353.2340014,0.999639392,-4.550789118,9.570853092,7.120745242,9.747603774,-455.0789118,957.0853092,712.0745242,974.7603774,1207.148674,,,
37,112.4658046,485.6808308,0.999999881,84.50725526,362.9816052,0.986820638,-5.276725113,13.22851062,8.444544137,24.79295528,-527.6725113,1322.851062,844.4544137,2479.295528,2619.161998,,,
38,107.1890795,498.9093415,0.999999523,92.95179939,387.7745605,0.999999166,-6.329321325,18.85317826,1.589269876,26.67437792,-632.9321325,1885.317826,158.9269876,2667.437792,2672.168064,,,
39,100.8597581,517.7625197,0.999997854,94.54106927,414.4489384,0.999999881,-3.560612679,10.8707329,-0.350233078,17.495471,-356.0612679,1087.07329,-35.0233078,1749.5471,1749.897622,,,
40,97.29914546,528.6332526,1,94.19083619,431.9444094,1,-2.72896719,11.77715626,0.300439358,20.10124811,-272.896719,1177.715626,30.04393578,2010.124811,2010.349321,,,
41,94.57017827,540.4104089,0.999997854,94.49127555,452.0456575,1,-5.209734201,11.82524785,-0.694810748,20.65177027,-520.9734201,1182.524785,-69.48107481,2065.177027,2066.345512,,,
42,89.36044407,552.2356567,0.999993205,93.7964648,472.6974277,1,1.145176768,9.696051836,-0.859282255,17.13555622,114.5176768,969.6051836,-85.92822552,1713.555622,1715.708754,,,
43,90.50562084,561.9317086,0.999995828,92.93718255,489.832984,0.999999523,4.830132604,7.287774324,-7.533871531,14.77278709,483.0132604,728.7774324,-753.3871531,1477.278709,1658.295688,,,
44,95.33575344,569.2194829,0.999998927,85.40331101,504.6057711,1,11.90566021,4.355689406,-8.7084499,16.23529816,1190.566021,435.5689406,-870.84499,1623.529816,1842.340918,,,
45,107.2414137,573.5751723,0.999976754,76.69486111,520.8410692,1,43.91489738,-31.36653149,0.79054898,8.709578037,4391.489738,-3136.653149,79.05489802,870.9578037,874.5382626,,,
46,151.156311,542.2086408,0.999997616,77.48541009,529.5506473,1,43.84451497,-67.22042167,7.391245186,15.98093128,4384.451497,-6722.042167,739.1245186,1598.093128,1760.740384,,,
47,195.000826,474.9882191,1,84.87665528,545.5315785,1,22.23413885,-59.8896004,9.06409508,12.45278502,2223.413885,-5988.96004,906.409508,1245.278502,1540.226198,,,
48,217.2349648,415.0986187,1,93.94075036,557.9843636,1,-2.552680731,-23.72517705,5.800263435,12.5507803,-255.2680731,-2372.517705,580.0263435,1255.07803,1382.62483,,,
