,p_left,p_right,y_left,y_right
0,0.999999881,1.0,472.053381,464.5619042
1,0.999999762,0.999999881,481.7176988,386.8144714
2,0.999999762,0.99998939,491.7013646,343.5788498
3,0.999999523,0.999999523,504.7626371,309.7237836
4,0.999999762,0.999999762,520.3542891,289.4117575
5,0.999999881,0.999940276,535.2984204,299.7449397
6,0.999999642,1.0,546.4711692,318.2588768
7,0.999999881,1.0,561.1189852,329.7078328
8,1.0,1.0,572.9280673,342.5813398
9,0.999999642,1.0,586.4386784,362.1750634
10,0.999970078,0.999999881,591.1718645,378.0928386
11,0.999814093,1.0,559.9024143,399.8996792
12,0.999999881,1.0,479.3455131,421.0099964
13,0.999999762,1.0,390.3348925,437.4539474
14,0.999981642,1.0,355.9978619,458.2901191
15,0.999526978,1.0,323.9059474,475.4571486
16,0.999992371,1.0,316.584764,489.7967749
17,0.999998331,1.0,323.8722403,501.9899552
18,0.99994123,1.0,347.8866025,513.0896454
19,0.999942183,1.0,358.1391094,524.8011507
20,0.999998808,1.0,375.5291092,534.2940722
21,0.999999642,1.0,390.1295171,545.7208414
22,0.999999762,1.0,408.2538695,559.0891984
23,0.999999642,1.0,414.9921463,566.0960562
24,0.999999881,1.0,425.0118732,574.5244925
25,1.0,1.0,435.3162558,581.8315878
26,0.999999881,0.999997139,444.0149718,586.9411486
27,0.999999881,0.999997377,451.387939,589.24538
28,0.999998212,0.997985363,461.5827016,582.6343524
29,0.999998689,1.0,475.6683598,531.2550489
30,0.999999642,1.0,491.5015869,422.8623331
31,0.999999881,0.999991894,508.5508287,351.29321
32,0.999999762,0.999999285,520.4383442,305.9458609
33,0.999999881,0.999991059,531.1395289,293.9982853
34,1.0,0.999999404,545.4758186,324.131077
35,0.999999762,1.0,555.9210514,339.26437
36,0.999999285,1.0,537.6756172,348.9009789
37,1.0,1.0,471.7688458,354.2043282
38,1.0,1.0,386.8180355,370.9761248
39,0.999998331,1.0,347.8689755,388.4252337
40,0.999952197,1.0,311.8489895,409.0808372
41,0.967859864,1.0,277.7765365,428.2897739
42,0.811504662,1.0,311.6657596,440.5562677
43,0.999981046,1.0,340.9686378,463.8719761
44,0.999999642,1.0,357.9787232,480.79667
45,0.999999881,1.0,368.6389761,491.7924829
46,1.0,1.0,385.823308,506.8829579
47,0.999999881,1.0,400.3658581,518.0694523
48,0.99999845,1.0,413.7035942,529.5089011
49,0.999999642,1.0,419.3499671,533.285925
50,0.999999523,1.0,421.5075994,536.4947577
51,0.999999285,1.0,427.8160104,538.1425719
52,0.999999881,1.0,439.8275771,547.2793331
53,0.999999881,1.0,458.7711176,561.6857843
54,1.0,1.0,469.6211623,566.1163821
55,0.999999762,1.0,482.139838,555.930777
56,0.999999404,0.999999881,495.3843763,505.1010604
57,0.999999881,0.998863459,504.3505249,406.3503778
58,0.999999762,0.999982953,514.6147069,347.5736518
59,0.999999523,0.999999166,521.4727249,313.8864686
60,0.999999642,0.999999881,528.6346593,294.3416684
61,0.999999642,0.999996066,533.7357041,314.2501817
62,0.999997497,1.0,544.6177609,320.8442979
63,0.999999881,1.0,556.2831809,337.0450354
64,0.999999881,1.0,568.7659717,350.6463273
65,1.0,1.0,582.1738627,365.0928633
66,0.999988437,1.0,588.3553265,382.0205705
67,0.999917507,1.0,557.2595223,393.6586142
68,0.999999762,1.0,486.43257,404.263801
69,1.0,1.0,406.0146043,417.0599992
70,0.999743521,1.0,364.8492526,428.8491406
